,FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,MMTPrice
338,Vistara,UK 708,Kolkata,20:30:00,New Delhi,23:00,02 h 30 m,6095
74,IndiGo,6E 5376,Bengaluru,19:30:00,Mumbai,21:10,01 h 40 m,6190
173,Vistara,UK 868,Bengaluru,09:45:00,New Delhi,12:40,02 h 55 m,6196
339,IndiGo,6E 2513,Kolkata,08:30:00,New Delhi,10:55,02 h 25 m,6212
340,IndiGo,6E 2759,Kolkata,15:40:00,New Delhi,18:00,02 h 20 m,6212
115,IndiGo,6E 781,New Delhi,15:30:00,Bengaluru,18:20,02 h 50 m,6216
116,IndiGo,6E 2302,New Delhi,20:20:00,Bengaluru,23:05,02 h 45 m,6216
117,IndiGo,6E 2302,New Delhi,20:20:00,Bengaluru,23:05,02 h 45 m,6216
118,Air India,AI 502,New Delhi,13:40:00,Bengaluru,16:20,02 h 40 m,6343
119,Air India,AI 815,New Delhi,15:35:00,Bengaluru,18:35,03 h,6343
120,Air India,AI 807,New Delhi,17:00:00,Bengaluru,20:15,03 h 15 m,6343
375,Vistara,UK 871,New Delhi,20:35:00,Hyderabad,22:55,02 h 20 m,6343
311,Air India,AI 401,New Delhi,06:55:00,Kolkata,09:00,02 h 05 m,6374
312,Air India,AI 401,New Delhi,06:55:00,Kolkata,09:00,02 h 05 m,6374
341,IndiGo,6E 2345,Kolkata,10:10:00,New Delhi,12:30,02 h 20 m,6420
342,IndiGo,6E 2345,Kolkata,10:10:00,New Delhi,12:30,02 h 20 m,6420
343,IndiGo,6E 2358,Kolkata,11:40:00,New Delhi,14:00,02 h 20 m,6420
121,Vistara,UK 811,New Delhi,06:15:00,Bengaluru,09:05,02 h 50 m,6448
122,Vistara,UK 817,New Delhi,16:05:00,Bengaluru,18:45,02 h 40 m,6448
123,Vistara,UK 817,New Delhi,16:05:00,Bengaluru,18:45,02 h 40 m,6448
31,IndiGo,6E 5221,Mumbai,16:45:00,Bengaluru,18:35,01 h 50 m,6450
32,IndiGo,6E 5067,Mumbai,18:05:00,Bengaluru,19:55,01 h 50 m,6450
33,IndiGo,6E 5067,Mumbai,18:05:00,Bengaluru,19:55,01 h 50 m,6450
34,IndiGo,6E 5256,Mumbai,20:35:00,Bengaluru,22:05,01 h 30 m,6450
272,IndiGo,6E 2113,Mumbai,19:00:00,New Delhi,21:10,02 h 10 m,6654
273,IndiGo,6E 2518,Mumbai,20:10:00,New Delhi,22:25,02 h 15 m,6654
274,IndiGo,6E 2518,Mumbai,20:10:00,New Delhi,22:25,02 h 15 m,6654
275,IndiGo,6E 2051,Mumbai,21:35:00,New Delhi,23:30,01 h 55 m,6654
75,Air India,AI 640,Bengaluru,06:45:00,Mumbai,08:35,01 h 50 m,6721
76,Air India,AI 622,Bengaluru,12:05:00,Mumbai,14:00,01 h 55 m,6721
77,Air India,AI 622,Bengaluru,12:05:00,Mumbai,14:00,01 h 55 m,6721
78,Air India,AI 610,Bengaluru,19:20:00,Mumbai,21:20,02 h,6721
174,Air India,AI 513,Bengaluru,07:05:00,New Delhi,10:00,02 h 55 m,6721
